12:15:45 HypixelApiJoinEvent(alpha=false)
12:15:45 Connected to Hypixel
12:15:48 HypixelApiServerChangeEvent(serverName=dynamiclobby21A, serverType=PROTOTYPE, lobbyName=prototypelobby4, mode=null, map=null)
12:16:05 HypixelApiServerChangeEvent(serverName=mini234A, serverType=SKYBLOCK, lobbyName=null, mode=dynamic, map=Private Island)
12:16:05 Island detected: 'PRIVATE_ISLAND'
12:16:05 Island change: 'NONE' -> 'PRIVATE_ISLAND'
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
12:16:05 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini234A, serverType: SKYBLOCK, map: Private Island
