18:46:12 HypixelApiJoinEvent(alpha=false)
18:46:12 Connected to Hypixel
18:46:13 HypixelApiServerChangeEvent(serverName=dynamiclobby12H, serverType=PROTOTYPE, lobbyName=prototypelobby2, mode=null, map=null)
18:46:20 HypixelApiServerChangeEvent(serverName=mini185CQ, serverType=SKYBLOCK, lobbyName=null, mode=garden, map=Garden)
18:46:20 Island detected: 'GARDEN'
18:46:20 Island change: 'NONE' -> 'GARDEN'
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:46:22 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:50:11 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:50:11 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:50:11 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:50:11 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:50:11 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:50:11 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: GARDEN, island: GARDEN, HypixelData.serverId: null, serverId: mini185CQ, serverType: SKYBLOCK, map: Garden
18:50:11 HypixelApiServerChangeEvent(serverName=mini158DT, serverType=SKYBLOCK, lobbyName=null, mode=dynamic, map=Private Island)
18:50:11 Island detected: 'PRIVATE_ISLAND'
18:50:11 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: GARDEN, HypixelData.serverId: null, serverId: mini158DT, serverType: SKYBLOCK, map: Private Island
18:50:11 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: GARDEN, HypixelData.serverId: null, serverId: mini158DT, serverType: SKYBLOCK, map: Private Island
