21:27:08 HypixelApiJoinEvent(alpha=false)
21:27:08 Connected to Hypixel
21:27:10 HypixelApiServerChangeEvent(serverName=dynamiclobby22H, serverType=PROTOTYPE, lobbyName=prototypelobby3, mode=null, map=null)
21:27:28 HypixelApiServerChangeEvent(serverName=mini157P, serverType=SKYBLOCK, lobbyName=null, mode=combat_1, map=Spider's Den)
21:27:28 Island detected: 'SPIDER_DEN'
21:27:28 Island change: 'NONE' -> 'SPIDER_DEN'
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
21:27:28 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: SPIDER_DEN, HypixelData.serverId: null, serverId: mini157P, serverType: SKYBLOCK, map: Spider's Den
