13:03:33 HypixelApiJoinEvent(alpha=false)
13:03:33 Connected to Hypixel
13:03:34 HypixelApiServerChangeEvent(serverName=dynamiclobby21A, serverType=PROTOTYPE, lobbyName=prototypelobby4, mode=null, map=null)
13:03:41 HypixelApiServerChangeEvent(serverName=mini183CQ, serverType=SKYBLOCK, lobbyName=null, mode=dynamic, map=Private Island)
13:03:41 Island detected: 'PRIVATE_ISLAND'
13:03:41 Island change: 'NONE' -> 'PRIVATE_ISLAND'
13:03:42 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini183CQ, serverType: SKYBLOCK, map: Private Island
13:03:42 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini183CQ, serverType: SKYBLOCK, map: Private Island
13:03:42 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini183CQ, serverType: SKYBLOCK, map: Private Island
13:03:42 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini183CQ, serverType: SKYBLOCK, map: Private Island
13:03:42 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini183CQ, serverType: SKYBLOCK, map: Private Island
13:03:42 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini183CQ, serverType: SKYBLOCK, map: Private Island
13:03:42 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini183CQ, serverType: SKYBLOCK, map: Private Island
13:03:42 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: UNKNOWN, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini183CQ, serverType: SKYBLOCK, map: Private Island
13:03:42 ERROR: HypixelData.skyBlock: true, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: PRIVATE_ISLAND, HypixelData.serverId: null, serverId: mini183CQ, serverType: SKYBLOCK, map: Private Island
13:06:08 HypixelApiServerChangeEvent(serverName=mini75DR, serverType=SKYBLOCK, lobbyName=null, mode=hub, map=Hub)
13:06:08 Island detected: 'HUB'
13:06:08 Island change: 'PRIVATE_ISLAND' -> 'HUB'
13:06:08 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:08 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:08 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:08 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:08 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:08 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:08 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:08 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:08 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: PRIVATE_ISLAND, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:09 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:09 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
13:06:09 ERROR: HypixelData.skyBlock: false, inSkyblock: true, HypixelData.hypixelLive: true, inHypixel: true, HypixelData.skyBlockIsland: NONE, island: HUB, HypixelData.serverId: null, serverId: mini75DR, serverType: SKYBLOCK, map: Hub
